Name,Price,Payout,Probability
Rocket Crossword,2,2,0.0846740050804403
Rocket Crossword,2,4,0.038461538461538464
Rocket Crossword,2,4,0.0196078431372549
Rocket Crossword,2,5,0.038461538461538464
Rocket Crossword,2,10,0.01719986240110079
Rocket Crossword,2,20,0.004975124378109453
Rocket Crossword,2,30,0.0032394959344326023
Rocket Crossword,2,50,7.494397937541688e-4
Rocket Crossword,2,100,7.494397937541688e-4
Rocket Crossword,2,1000,9.99990000099999e-6
Rocket Crossword,2,12000,9.99990000099999e-6
Rocket Crossword,2,0,0.7918617127580747
