Name,Price,Payout,Probability
"Lights, Camera, Crossword!",3,3,0.1303780964797914
"Lights, Camera, Crossword!",3,3,0.047619047619047616
"Lights, Camera, Crossword!",3,6,0.006622516556291391
"Lights, Camera, Crossword!",3,6,0.006622516556291391
"Lights, Camera, Crossword!",3,6,0.006622516556291391
"Lights, Camera, Crossword!",3,12,0.0033222591362126247
"Lights, Camera, Crossword!",3,12,0.0033222591362126247
"Lights, Camera, Crossword!",3,12,0.0033222591362126247
"Lights, Camera, Crossword!",3,24,0.006622516556291391
"Lights, Camera, Crossword!",3,30,4.997501249375312e-4
"Lights, Camera, Crossword!",3,30,4.997501249375312e-4
"Lights, Camera, Crossword!",3,33,0.005964096141229797
"Lights, Camera, Crossword!",3,36,0.0024937655860349127
"Lights, Camera, Crossword!",3,50,3.332222592469177e-4
"Lights, Camera, Crossword!",3,90,0.0024937655860349127
"Lights, Camera, Crossword!",3,250,2.666595557451801e-5
"Lights, Camera, Crossword!",3,1000,1.3333155557925894e-5
"Lights, Camera, Crossword!",3,30000,1.3333155557925894e-5
"Lights, Camera, Crossword!",3,0,0.7732083301782455
