Name,Price,Payout,Probability
High 5,5,5,0.14903129657228018
High 5,5,10,0.038461538461538464
High 5,5,10,0.009900990099009901
High 5,5,15,0.014777597162701344
High 5,5,15,0.009900990099009901
High 5,5,25,0.0033222591362126247
High 5,5,25,0.0016638935108153079
High 5,5,25,0.0016638935108153079
High 5,5,50,0.004975124378109453
High 5,5,50,3.332222592469177e-4
High 5,5,50,3.332222592469177e-4
High 5,5,75,3.332222592469177e-4
High 5,5,75,0.0011653110215116415
High 5,5,75,0.0011653110215116415
High 5,5,75,1.6663889351774705e-4
High 5,5,150,6.666222251849876e-5
High 5,5,150,6.666222251849876e-5
High 5,5,150,3.333222225925803e-5
High 5,5,150,3.333222225925803e-5
High 5,5,300,3.333222225925803e-5
High 5,5,300,3.333222225925803e-5
High 5,5,500,6.6666222225185165e-6
High 5,5,500,6.6666222225185165e-6
High 5,5,1000,6.6666222225185165e-6
High 5,5,1000,6.6666222225185165e-6
High 5,5,5000,6.6666222225185165e-6
High 5,5,75000,1.3333155557925894e-5
High 5,5,0,0.7624921697544812
