Name,Price,Payout,Probability
24K GOLD,10,10,0.1111111111111111
24K GOLD,10,20,0.047619047619047616
24K GOLD,10,20,0.024390243902439025
24K GOLD,10,25,0.024390243902439025
24K GOLD,10,25,0.024390243902439025
24K GOLD,10,50,0.004479885314935938
24K GOLD,10,50,0.011858176212498519
24K GOLD,10,50,0.004479885314935938
24K GOLD,10,100,9.99000999000999e-4
24K GOLD,10,100,7.494397937541688e-4
24K GOLD,10,100,9.99000999000999e-4
24K GOLD,10,100,7.494397937541688e-4
24K GOLD,10,200,3.748589593165571e-4
24K GOLD,10,200,9.374118247002391e-5
24K GOLD,10,200,6.249609399412537e-5
24K GOLD,10,1000,1.87496496159228e-5
24K GOLD,10,1000,6.249960937744139e-6
24K GOLD,10,175000,1.24998437519531e-5
24K GOLD,10,0,0.7432156854445571
