Name,Price,Payout,Probability
Lucky Spot,1,1,0.1150747986191024
Lucky Spot,1,2,0.029129041654529567
Lucky Spot,1,2,0.0196078431372549
Lucky Spot,1,5,0.009900990099009901
Lucky Spot,1,5,0.009900990099009901
Lucky Spot,1,10,0.0024937655860349127
Lucky Spot,1,10,0.0024937655860349127
Lucky Spot,1,20,0.0029910567403463647
Lucky Spot,1,20,0.0029910567403463647
Lucky Spot,1,20,0.00149774589243189
Lucky Spot,1,50,2.9991032681228315e-4
Lucky Spot,1,50,2.9991032681228315e-4
Lucky Spot,1,100,4.999750012499375e-5
Lucky Spot,1,1000,1.36361783083039e-5
Lucky Spot,1,0,0.803255491513841
